,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
0,Mar del Plata,AR,1547417427,-46.43,-67.52,0,24,79.62,5.97
1,Atuona,PF,1547417718,-9.8,-139.03,24,100,81.1,17.05
2,Leningradskiy,RU,1547417736,69.38,178.42,24,100,-17.32,8.43
3,Bredasdorp,ZA,1547416800,-34.53,20.04,32,72,68.0,2.24
4,Port Alfred,ZA,1547417422,-33.59,26.89,24,89,68.64,7.31
5,Cape Town,ZA,1547416800,-33.93,18.42,20,82,60.8,3.36
6,Dingle,PH,1547417731,11.0,122.67,48,84,75.07,14.25
7,Ushuaia,AR,1547416800,-54.81,-68.31,75,61,57.2,32.21
8,Busselton,AU,1547417721,-33.64,115.35,0,100,59.55,18.05
9,Narsaq,GL,1547416200,60.91,-46.05,8,58,26.6,6.93
10,Rikitea,PF,1547417696,-23.12,-134.97,76,99,79.62,11.56
11,Ribeira Grande,PT,1547413200,38.52,-28.7,75,72,60.8,9.17
12,Kaitangata,NZ,1547417728,-46.28,169.85,56,84,55.54,14.7
13,Bethel,US,1547417340,60.79,-161.76,90,93,37.4,12.75
14,Kodiak,US,1547416500,39.95,-94.76,1,58,30.92,3.36
15,Khatanga,RU,1547417440,71.98,102.47,32,70,-36.08,5.41
16,Adrar,DZ,1547413200,27.87,-0.29,0,36,46.4,13.87
17,Puerto Ayora,EC,1547413200,-0.74,-90.35,75,78,78.8,16.11
18,Abu Dhabi,AE,1547416800,24.47,54.37,56,82,64.4,1.12
19,Yellowknife,CA,1547413200,62.45,-114.38,40,67,-23.81,3.51
20,Norman Wells,CA,1547413200,65.28,-126.83,75,68,-14.81,12.75
21,Qaanaaq,GL,1547417416,77.48,-69.36,0,100,-25.55,9.78
22,Brae,GB,1547416200,60.4,-1.35,36,100,35.6,25.28
23,Albany,US,1547416740,42.65,-73.75,20,50,21.2,9.17
24,Nanortalik,GL,1547417549,60.14,-45.24,64,100,26.07,14.81
25,Tiksi,RU,1547417712,71.64,128.87,0,0,-38.11,2.17
26,Cidreira,BR,1547417728,-30.17,-50.22,48,81,82.59,11.01
27,Ishigaki,JP,1547416800,24.34,124.16,75,72,66.2,13.87
28,Buraydah,SA,1547416800,26.33,43.97,40,63,62.6,3.36
29,Caravelas,BR,1547417797,-17.73,-39.27,0,100,80.2,13.02
30,Eureka,US,1547415300,40.8,-124.16,1,100,60.8,9.17
31,Aden,YE,1547417559,12.79,45.03,0,100,76.65,11.56
32,Ponta do Sol,BR,1547417715,-20.63,-46.0,20,70,81.64,2.62
